  PID TTY           TIME CMD
    1 ??         2:13.89 /sbin/launchd
   10 ??         0:12.58 /usr/libexec/kextd
   11 ??         0:49.92 /usr/sbin/DirectoryService
   12 ??         0:03.11 /usr/sbin/notifyd
   13 ??         0:00.76 /usr/sbin/diskarbitrationd
   14 ??         0:19.34 /usr/libexec/configd
   15 ??         0:15.30 /usr/sbin/syslogd
   16 ??         0:13.13 /usr/sbin/distnoted
   17 ??         0:00.58 /usr/sbin/blued
   19 ??         0:22.69 /usr/sbin/mDNSResponder -launchd
   22 ??         0:06.51 /usr/sbin/securityd -i
   24 ??         0:19.90 /System/Library/CoreServices/coreservicesd
   26 ??         0:04.54 /usr/sbin/ntpd -c /private/etc/ntp-restrict.conf -n -g -p /var/run/ntpd.pid -f /var/db/ntp.drift
   27 ??         0:00.87 /usr/sbin/cupsd -l
   29 ??         0:00.78 /usr/sbin/krb5kdc -n
   30 ??         0:00.14 /usr/sbin/cron
   34 ??         0:00.34 /sbin/SystemStarter
   38 ??         0:00.01 /System/Library/CoreServices/RemoteManagement/AppleVNCServer.bundle/Contents/Support/RFBRegisterMDNS
   40 ??         3:57.07 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
   41 ??         1:25.26 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
   42 ??         0:00.66 /usr/sbin/KernelEventAgent
   44 ??         7:21.58 /usr/libexec/hidd
   45 ??         0:23.40 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/Support/fseventsd
   47 ??         0:01.62 /sbin/dynamic_pager -F /private/var/vm/swapfile
   53 ??         0:00.38 autofsd
   57 ??         0:03.77 /Library/Rapport/bin/rooksd
   79 ??         0:02.75 /usr/sbin/httpd -D FOREGROUND
   80 ??         0:00.00 /usr/sbin/httpd -D FOREGROUND
   87 ??        20:21.96 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/CoreGraphics.framework/Resources/WindowServer -daemon
  100 ??         1:38.97 /opt/cisco/vpn/bin/vpnagentd -execv_instance
  104 ??         0:00.09 /Library/Application Support/VMware Fusion/vmnet-natd -c /Library/Application Support/VMware Fusion/vmnet8/nat.conf -m /Library/Application Support/VMware Fusion/vmnet8/nat.mac vmnet8
  110 ??         0:00.06 /Library/Application Support/VMware Fusion/vmnet-dhcpd -cf /Library/Application Support/VMware Fusion/vmnet8/dhcpd.conf -lf /var/db/vmware/vmnet-dhcpd-vmnet8.leases -pf /var/run/vmnet-dhcpd-vmnet8.pid vmnet8
  112 ??         0:00.00 /Library/Application Support/VMware Fusion/vmnet-netifup -d /var/run/vmnet-netif-vmnet8.pid vmnet8 vmnet8
  115 ??         0:00.00 /Library/Application Support/VMware Fusion/vmnet-netifup -d /var/run/vmnet-netif-vmnet1.pid vmnet1 vmnet1
  116 ??         0:00.05 /Library/McAfee/cma/bin/cma
  119 ??         0:00.06 /Library/Application Support/VMware Fusion/vmnet-dhcpd -cf /Library/Application Support/VMware Fusion/vmnet1/dhcpd.conf -lf /var/db/vmware/vmnet-dhcpd-vmnet1.leases -pf /var/run/vmnet-dhcpd-vmnet1.pid vmnet1
  122 ??         0:00.35 /Library/Application Support/VMware Fusion/vmnet-bridge vmnet0 
  133 ??         0:00.11 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/cvmsServ
  146 ??         0:02.40 /usr/sbin/coreaudiod
  244 ??         0:11.68 /sbin/launchd
  248 ??         0:11.95 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  249 ??         2:38.95 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  250 ??         1:30.52 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  254 ??         0:00.01 /usr/sbin/pboard
